ID	nbrefhom	nbalthom	nbhet	nbmissing
hg02461	939	163	250	0
hg02461	1027	98	225	2
hg02461	920	84	348	0
hg02461	997	76	276	3
hg02461	1038	70	243	1
hg02461	980	140	232	0
hg02461	997	78	277	0
hg02461	951	99	302	0
hg02461	1099	61	188	4
hg02461	1014	70	267	1
hg02461	983	81	288	0
hg02461	1000	106	245	1
hg02461	924	138	289	1
hg02461	984	157	211	0
hg02461	1061	164	124	3
hg02461	1099	100	151	2
hg02461	958	122	270	2
hg02461	968	71	311	2
hg02461	1014	86	252	0
hg02461	986	152	211	3
hg02461	1001	182	164	5
hg02461	967	123	261	1
hg02461	999	52	301	0
hg02461	967	77	307	1
hg02461	943	117	291	1
hg02461	977	73	301	1
hg02461	1040	34	278	0
hg02461	946	86	319	1
hg02461	956	123	272	1
hg02461	971	54	325	2
hg02461	1073	46	231	2
hg02461	1070	271	11	0
hg02461	1158	147	45	2
hg02461	1093	62	197	0
hg02461	1041	78	231	2
hg02461	1024	45	282	1
hg02461	1044	59	249	0
hg02461	1126	51	175	0
hg02461	1170	47	134	1
hg02461	1053	190	106	3
hg02461	1024	188	140	0
hg02461	1082	68	200	2
hg02461	1096	60	196	0
hg02461	1092	131	127	2
hg02461	950	147	255	0
hg02461	1016	123	212	1
hg02461	1008	37	307	0
hg02461	1029	196	125	2
hg02461	1049	38	265	0
hg02461	1010	42	300	0
hg02461	1148	61	143	0
hg02461	1125	90	137	0
hg02461	1141	122	86	3
hg02461	1001	64	286	1
hg02461	1057	157	138	0
hg02461	1035	123	193	1
hg02461	1042	78	232	0
hg02461	1052	84	216	0
hg02461	1049	90	213	0
hg02461	1048	77	227	0
hg02461	1013	70	268	1
hg02461	1114	116	121	1
hg02461	1020	86	246	0
hg02461	1178	166	8	0
hg02461	1127	104	121	0
hg02461	1067	85	199	1
hg02461	1100	35	217	0
hg02461	1048	58	246	0
hg02461	1003	148	200	1
hg02461	987	160	205	0
hg02461	1101	43	207	1
hg02461	1061	81	208	2
hg02461	1054	78	220	0
hg02461	1027	164	161	0
hg02461	1100	101	151	0
hg02461	992	136	224	0
hg02461	1132	73	146	1
hg02461	1002	72	278	0
hg02461	1096	118	138	0
hg02461	1061	86	204	1
hg02461	1047	64	241	0
hg02461	1053	160	138	1
hg02461	1003	112	236	1
hg02461	1092	66	194	0
hg02461	1144	82	125	1
hg02461	941	143	268	0
hg02461	1048	41	263	0
hg02461	1013	123	214	2
hg02461	1007	75	270	0
hg02461	956	77	317	2
hg02461	1017	20	315	0
hg02461	1015	122	213	2
hg02461	1106	60	184	2
hg02461	1111	97	142	2
hg02461	1105	64	181	2
hg02461	1134	97	121	0
hg02461	1029	140	183	0
hg02461	989	86	276	1
hg02461	1134	81	137	0
hg02461	1102	69	180	1
hg02461	975	62	315	0
hg02461	1120	101	130	1
hg02461	1065	63	223	1
hg02461	1053	37	262	0
hg02461	1169	74	109	0
hg02461	1145	85	121	1
hg02461	992	96	264	0
hg02461	1053	87	212	0
hg02461	1145	74	133	0
hg02461	1214	48	90	0
hg02461	1018	89	245	0
hg02461	1017	99	235	1
hg02461	1086	31	233	2
hg02461	1056	152	142	2
hg02461	1011	86	254	1
hg02461	1037	151	159	5
hg02461	1075	179	95	3
hg02461	1106	29	217	0
hg02461	994	56	302	0
hg02461	1175	70	107	0
hg02461	1009	204	139	0
hg02461	919	180	246	7
hg02461	993	142	214	3
hg02461	1034	59	256	3
hg02461	1009	165	177	1
hg02461	1027	170	152	3
hg02461	1045	78	226	3
hg02461	1020	37	294	1
hg02461	991	84	276	1
hg02461	1000	163	185	4
hg02461	1144	105	99	4
hg02461	1012	52	288	0
hg02461	1060	44	244	4
hg02461	1128	89	132	3
hg02461	994	213	140	5
hg02461	958	128	266	0
hg02461	993	75	282	2
hg02461	983	185	177	7
hg02461	999	78	273	2
hg02461	1056	60	236	0
hg02461	1050	65	235	2
hg02461	954	69	329	0
hg02461	946	94	312	0
hg02461	1060	125	162	5
hg02461	869	157	324	2
